material_id,formula,num_elements,num_atoms,a,b,c,alpha,beta,gamma,band_gap_eV,energy_above_hull_eV_atom,density_g_cm3,has_crystal_embed
mp-2172,AlAs,2,2,4.0134,4.0134,4.0134,60.0,60.0,60.0,1.503699999999999,0.0,3.701817725841658,True
mp-1550,AlP,2,2,3.87,3.87,3.87,60.0,60.0,60.0,1.6294,0.0,2.348192310671479,True
mp-2624,AlSb,2,2,4.3735,4.3735,4.3735,60.0,60.0,60.0,1.2255,0.0,4.175546636123753,True
mp-861605,AcH3,2,4,4.1093,4.1093,4.1093,60.0,60.0,60.0,0.640699999999999,0.0,7.784733821859042,True
mp-23231,AgBr,2,2,4.0901,4.0901,4.0901,60.0,60.0,60.0,0.730399999999999,0.0,6.4443509018534755,True
mp-866291,AgBr,2,2,4.4122,4.4122,4.4122,60.0,60.0,60.0,1.1708,0.030505370000000004,5.1336931028898825,True
mp-22922,AgCl,2,2,3.9211,3.9211,3.9211,60.0,60.0,60.0,0.9522,0.0,5.582622712233539,True
mp-22925,AgI,2,2,4.6416,4.6416,4.6416,60.0,60.0,60.0,1.3674,0.0024065550000000003,5.513316054259083,True
mp-684580,AgI,2,2,4.6556,4.6556,4.6556,118.0927,118.0927,93.3365,1.3143,0.0038585250000000002,5.320322248904008,True
mp-1479,BP,2,2,3.2047,3.2047,3.2047,60.0,60.0,60.0,1.243499999999999,0.0,2.9813687825821953,True
mp-1342,BaO,2,2,3.9462,3.9462,3.9462,60.0,60.0,60.0,2.0906,0.0,5.859229670745691,True
mp-1105,BaO2,2,3,3.838,3.838,4.3888,115.9287,115.9287,90.0,2.2352,0.0,5.534178952108108,True
mp-1253,BaSe,2,2,4.7145,4.7145,4.7145,60.0,60.0,60.0,1.948799999999999,0.0,4.84730673334938,True
mp-1500,BaS,2,2,4.5618,4.5618,4.5618,60.0,60.0,60.0,2.1488,0.0,4.190346371817915,True
mp-3347313,C,1,2,2.4566,2.4566,3.6954,74.1754,74.1754,59.9942,1.376199999999999,0.0,2.1761568056275022,True
mp-1541,BeSe,2,2,3.6543,3.6543,3.6543,60.0,60.0,60.0,2.663699999999999,0.0,4.2335305740883165,True
mp-252,BeTe,2,2,4.0043,4.0043,4.0043,60.0,60.0,60.0,2.017299999999999,0.0,4.996636953414623,True
mp-2482,CaC2,2,3,3.8686,3.8686,4.2115,117.3414,117.3414,90.0,1.3593,0.0029290600000010003,2.221056574467479,True
mp-1569,Be2C,2,3,3.0579,3.0579,3.0579,60.0,60.0,60.0,1.163699999999999,0.0,2.466756874278714,True
mp-2469,CdS,2,2,4.162,4.162,4.162,60.0,60.0,60.0,1.0492,0.0027132225,4.70613765491418,True
mp-2691,CdSe,2,2,4.342,4.342,4.342,60.0,60.0,60.0,0.5096,0.000553682500001,5.4899073125829645,True
mp-406,CdTe,2,2,4.6416,4.6416,4.6416,60.0,60.0,60.0,0.5846,0.0,5.636239502916918,True
mp-20194,CeO2,2,3,3.8661,3.8661,3.8661,60.0,60.0,60.0,1.8647,0.0,6.994759103664203,True
mp-241,CdF2,2,3,3.8191,3.8191,3.8191,60.0,60.0,60.0,2.8977,0.0,6.340854969929461,True
mp-634859,CaO2,2,3,3.2802,4.0808,4.0808,47.395,66.3025,66.3025,2.7345,0.0,3.312892458777454,True
mp-1672,CaS,2,2,4.0339,4.0339,4.0339,60.0,60.0,60.0,2.3819,0.0,2.5810342007468723,True
mp-1415,CaSe,2,2,4.2006,4.2006,4.2006,60.0,60.0,60.0,2.0728,0.0,3.771646029600366,True
mp-1519,CaTe,2,2,4.5196,4.5196,4.5196,60.0,60.0,60.0,1.5535,0.0,4.265149322704297,True
mp-2667,CsAu,2,2,4.2829,4.2829,4.2829,90.0,90.0,90.0,1.023299999999999,0.0,6.97259852405392,True
mp-1057286,CsH,2,2,4.5131,4.5131,4.5131,60.0,60.0,60.0,2.3475,0.0,3.4210452945750163,True
mp-632319,CsH,2,2,3.8184,3.8184,3.8184,90.0,90.0,90.0,2.5693,0.016097849999999,3.994164339395443,True
mp-1225654,CuCl,2,2,3.7837,3.7837,3.7837,60.8863,60.8863,60.8863,0.5569000000000001,0.004516119999999,4.207638995500521,True
mp-22914,CuCl,2,2,3.7642,3.8106,3.7642,90.0,60.8172,120.4086,0.5646,0.018326194999998,4.2800346894792884,True
mp-972965,GdF3,2,4,3.9586,3.9586,3.9586,60.0,60.0,60.0,2.862199999999999,0.0,8.110705929293834,True
mp-830,GaN,2,2,3.1869,3.1869,3.1869,60.0,60.0,60.0,1.5701,0.006731237500000001,6.074710678064747,True
mp-2490,GaP,2,2,3.8549,3.8549,3.8549,60.0,60.0,60.0,1.603899999999999,0.0,4.128066394428307,True
mp-938,GeTe,2,2,4.4028,4.4028,4.4028,56.8126,56.8126,56.8126,0.5565,0.0,5.947280906242025,True
mp-753304,Hg,1,1,3.3826,3.3826,3.3826,60.0039,60.0039,60.0039,0.5361,0.022511372499998003,12.170071428745281,True
mp-8177,HgF2,2,3,3.9289,3.9289,3.9289,60.0,60.0,60.0,0.9687,0.0,9.238127499184847,True
mp-30009,KrF2,2,3,4.1027,4.1027,4.3572,118.0858,118.0858,90.0,2.92,0.0,3.695848893438977,True
mp-2286,Li2Se,2,3,4.2088,4.2088,4.2088,60.0,60.0,60.0,2.9746,0.0,2.924458277403507,True
mp-2530,Li2Te,2,3,4.6059,4.6059,4.6059,60.0,60.0,60.0,2.4914,0.0,3.400299879294002,True
mp-2251,Li3N,2,4,3.6097,3.6097,3.8546,90.0,90.0,120.0,0.9840000000000001,0.0,1.329645114763006,True
mp-2074,Li3Sb,2,4,4.628,4.628,4.628,60.0,60.0,60.0,0.707399999999999,0.0079774975,3.3780282556011523,True
mp-23703,LiH,2,2,2.8406,2.8406,2.8406,60.0,60.0,60.0,2.981,0.0,0.8143955033141881,True
mp-1315,MgS,2,2,3.6832,3.6832,3.6832,60.0,60.0,60.0,2.7574,0.0,2.649386380469676,True
mp-10760,MgSe,2,2,3.8661,3.8661,3.8661,60.0,60.0,60.0,1.7609,0.010059789999999002,4.196705393655421,True
mp-13031,MgSe,2,2,4.1987,4.1987,4.1987,60.0,60.0,60.0,2.5476,0.0059398949999990005,3.276222500454592,True
mp-13033,MgTe,2,2,4.5707,4.5707,4.5707,60.0,60.0,60.0,2.3186,0.0,3.7357481379341433,True
mp-648,Na2S,2,3,4.595,4.595,4.595,60.0,60.0,60.0,2.4399,0.0,1.8890808023843082,True
mp-1266,Na2Se,2,3,4.7797,4.7797,4.7797,60.0,60.0,60.0,2.0153,0.0,2.686924163065691,True
mp-2352,Na2O,2,3,3.8785,3.8785,3.8785,60.0,60.0,60.0,1.8736000000000002,0.0,2.494753648201913,True
mp-1057015,PbS,2,2,4.2253,4.2253,4.2269,60.0125,60.0125,60.0,0.5555,0.0013585549999990002,7.444189541445099,True
mp-19009,NiO,2,2,2.9602,2.9602,2.9602,60.0,60.0,60.0,2.300899999999999,0.0,6.762154477618838,True
mp-1009490,O2,1,2,3.2466,3.2466,4.1464,112.1803,112.1803,89.4587,1.426,0.0017175900000000002,1.435251682925213,True
mp-610917,O2,1,2,4.2034,4.2034,4.2034,46.9659,46.9659,46.9659,1.3227,0.012108549999999002,1.4650345702308512,True
mp-611836,O2,1,2,3.3006,3.3006,4.3629,61.6968,61.6968,60.4858,1.314299999999999,0.009970109999999002,1.536783825475841,True
mp-24721,RbH,2,2,4.2484,4.2484,4.2484,60.0,60.0,60.0,2.9163,0.0,2.6483681718257923,True
mp-14,Se,1,3,4.5048,4.5048,4.9788,89.9911,90.0045,120.0044,0.8765000000000001,0.001081077604167,4.495590643284683,True
mp-149,Si,1,2,3.8493,3.8493,3.8493,60.0,60.0,60.0,0.6105,0.0,2.312800253345134,True
mp-8062,SiC,2,2,3.0787,3.0787,3.0787,60.0,60.0,60.0,1.3669,0.00016855236842100001,3.226629134057059,True
mp-1219182,SiGe,2,2,3.9194,3.9194,3.9194,60.0,60.0,60.0,0.6059999999999991,0.016203427499998,3.92854447034411,True
mp-2630,SrC2,2,3,4.0978,4.0978,4.4723,117.2666,117.2666,90.0,1.6917,0.0033057683333330003,3.240757387239209,True
mp-2697,SrO2,2,3,3.5442,3.5442,4.1775,115.1004,115.1004,90.0,2.8495,0.0,4.7311038520642335,True
mp-1087,SrS,2,2,4.2766,4.2766,4.2766,60.0,60.0,60.0,2.497,0.0,3.5934057106330632,True
mp-2758,SrSe,2,2,4.4402,4.4402,4.4402,60.0,60.0,60.0,2.2313,0.0,4.46861550539798,True
mp-1958,SrTe,2,2,4.7459,4.7459,4.7459,60.0,60.0,60.0,1.7616,0.0,4.728243242961414,True
mp-19717,TePb,2,2,4.6257,4.6257,4.6257,60.0,60.0,60.0,0.8063,0.0,7.9433559346783795,True
mp-22875,TlBr,2,2,3.9999,3.9999,3.9999,90.0,90.0,90.0,1.9877,0.004640312499994,7.376612814743173,True
mp-568560,TlBr,2,2,4.7264,4.7264,4.7264,60.0,60.0,60.0,2.2962,0.004668182499997,6.323258587611376,True
mp-23167,TlCl,2,2,3.8375,3.8375,3.8375,90.0,90.0,90.0,2.1732,0.001307087499998,7.04741623526128,True
mp-569639,TlCl,2,2,4.5531,4.5531,4.5531,60.0,60.0,60.0,2.5369,0.0062336574999970005,5.966892116347531,True
mp-23197,TlI,2,2,4.2382,4.2382,4.2382,90.0,90.0,90.0,1.810799999999999,0.020759689999998002,7.2261297326590395,True
mp-571102,TlI,2,2,4.9795,4.9795,4.9795,60.0,60.0,60.0,2.208599999999999,0.0,6.30107844672892,True
mp-1776,UN2,2,3,3.7206,3.7206,3.7206,60.0,60.0,60.0,0.6927000000000001,0.0,12.13049247522699,True
mp-375,UO3,2,4,4.1354,4.1354,4.1354,90.0,90.0,90.0,1.634999999999999,0.0,6.71581326426754,True
mp-22885,XeF2,2,3,4.2467,4.2467,4.6465,117.1919,117.1919,90.0,2.686199999999999,0.0,4.396080864795752,True
mp-19390,WO3,2,4,3.8062,3.8062,3.8062,90.0,90.0,90.0,1.1124,0.007691435312500001,6.981643244697576,True
mp-1100,YbC2,2,3,3.94,3.94,3.94,126.1266,126.1266,79.6802,1.0375,0.0,8.48846997089982,True
mp-1820,YbS,2,2,3.8051,3.8051,3.8051,60.0,60.0,60.0,2.2246,0.0,8.742442293735122,True
mp-1779,YbTe,2,2,4.2667,4.2667,4.2667,60.0,60.0,60.0,1.4678,0.0,9.089476726834379,True
mp-1986,ZnO,2,2,3.2234,3.2234,3.2234,60.0,60.0,60.0,0.630899999999999,0.00806893,5.708336616549273,True
mp-10695,ZnS,2,2,3.8094,3.8094,3.8094,60.0,60.0,60.0,2.0192,0.00014624571428500002,4.140649724985354,True
mp-1190,ZnSe,2,2,4.0057,4.0057,4.0057,60.0,60.0,60.0,1.1663000000000001,0.0,5.274845268778988,True
